Ticker,Date,Daily_Low,Daily_Close,Prev_Week_Low
ACC,2026-09-17,1225.0,1232.5,1230.6
ADANIENSOL,2026-09-17,1336.5,1386.8,1364.2
ADANIENT,2026-09-17,2907.0,2923.2,2918.0
ADANIGREEN,2026-09-17,1261.5,1274.2,1273.2
ADANIPOWER,2026-09-17,202.3,205.92,204.12
APOLLOHOSP,2026-09-17,8686.5,8768.5,8745.0
ASIANPAINT,2026-09-17,2421.0,2454.0,2442.8
BAJAJHLDNG,2026-09-17,10884.0,11010.0,10922.0
BHEL,2026-09-17,410.8,429.2,418.2
CANBK,2026-09-17,122.48,123.9,122.65
CUMMINSIND,2026-09-17,4920.0,5020.0,4965.0
DLF,2026-09-17,622.0,640.0,630.0
HINDALCO,2026-09-17,970.5,980.5,973.1
ICICIGI,2026-09-17,1435.5,1486.7,1443.7
INDIGO,2026-09-17,4746.5,4845.0,4822.0
JIOFIN,2026-09-17,225.0,229.3,226.44
M&M,2026-09-17,3047.0,3076.5,3069.1
MOTHERSON,2026-09-17,158.66,161.87,160.12
NAUKRI,2026-09-17,1242.8,1265.0,1244.8
NTPC,2026-09-17,327.2,329.6,328.65
ONGC,2026-09-17,231.25,232.43,232.22
PIDILITIND,2026-09-17,1535.0,1551.5,1540.4
TATAPOWER,2026-09-17,360.2,369.0,362.25
TCS,2026-09-17,2162.5,2190.0,2185.5
TORNTPHARM,2026-09-17,4794.5,4875.0,4823.0
TVSMOTOR,2026-09-17,4050.0,4101.7,4062.8
UNITDSPR,2026-09-17,1378.1,1390.0,1384.3
VEDL,2026-09-17,253.95,257.45,256.5
WIPRO,2026-09-17,165.02,166.4,165.16
ZYDUSLIFE,2026-09-17,1100.1,1135.1,1104.6
